recall_id,clause_id,segment_ids,fan_out,reciprocal,percentage,including_other_clauses_percentage,including_other_clauses,only_secondary,totally_missed,max_clause_id,clause_position,clause_text
0,1,"[1, 4]",2,[],0,0,[],set(),"{1, 4}",12,0.083333333,Someone and their partner were driving on Twenty Four
0,2,"[1, 2, 19, 20]",4,[],0,0,[],set(),"{1, 2, 19, 20}",12,0.16666666666666666,"to a softball game at the church,"
0,3,"[6, 8, 21, 23, 24, 25]",6,[],0,0,[],set(),"{21, 6, 23, 8, 24, 25}",12,0.25,when they noticed a guy was tailing their car.
0,4,"[26, 32, 35]",3,[],0,0,[],set(),"{32, 26, 35}",12,0.3333333333333333,"They tried to lose him,"
0,5,"[23, 24, 25, 26, 27]",5,[],0,0,[],set(),"{23, 24, 25, 26, 27}",12,0.4166666666666667,but he continued tailing them.
0,6,[],0,[],0,0,[],set(),set(),12,0.5,"However, the other guy crashed his car,"
0,7,[],0,[],0,0,[],set(),set(),12,0.5833333333333334,and he didn't move.
0,8,"[37, 38, 39]",3,[],0,0,[],set(),"{37, 38, 39}",12,0.6666666666666666,"Not wanting to leave the man to die,"
0,9,"[42, 43, 44, 46]",4,[],0,0,[],set(),"{42, 43, 44, 46}",12,0.75,"though, they called the police,"
0,10,"[43, 44, 48, 52, 53, 54, 55, 56]",8,[],0,0,[],set(),"{43, 44, 48, 52, 53, 54, 55, 56}",12,0.8333333333333334,who turned up soon enough.
0,11,"[49, 50, 51, 52, 53]",5,[],0,0,[],set(),"{49, 50, 51, 52, 53}",12,0.9166666666666666,The other man drove off
0,12,[56],1,[],0,0,[],set(),{56},12,1,and was never caught.
1,1,[4],1,[],0,0,[],set(),{4},32,0.03125,A man was in the car
1,2,[24],1,[],0,0,[],set(),{24},32,0.0625,"with a woman named Lisa,"
1,3,"[1, 19, 21]",3,[],0,0,[],set(),"{1, 19, 21}",32,0.09375,going to watch a softball game
1,4,"[4, 5]",2,[],0,0,[],set(),"{4, 5}",32,0.125,driving down the Twenty-Four.
1,5,[7],1,[],0,0,[],set(),{7},32,0.15625,A man in his mid fifties was pulling in
1,6,[],0,[],0,0,[],set(),set(),32,0.1875,from somewhere
1,7,"[8, 16, 17]",3,[],0,0,[],set(),"{8, 16, 17}",32,0.21875,blocking the road
1,8,"[6, 8]",2,[],0,0,[],set(),"{8, 6}",32,0.25,with his car on the Twenty-Four
1,9,"[23, 24]",2,[],0,0,[],set(),"{24, 23}",32,0.28125,when the driver in the car with Lisa drove in
1,10,[13],1,[],0,0,[],set(),{13},32,0.3125,and overtook him.
1,11,"[21, 23, 25]",3,[],0,0,[],set(),"{25, 21, 23}",32,0.34375,The man in his mid fifties began following their car
1,12,[25],1,[],0,0,[],set(),{25},32,0.375,"bumper to bumper,"
1,13,[27],1,[],0,0,[],set(),{27},32,0.40625,swaying between the two lanes on the road.
1,14,"[33, 34]",2,[],0,0,[],set(),"{33, 34}",32,0.4375,"The driver and Lisa thought the man was either drunk,"
1,15,[30],1,[],0,0,[],set(),{30},32,0.46875,"which led him to think about how drunk driving is a major killer of young people on the roads,"
1,16,[37],1,[],0,0,[],set(),{37},32,0.5,or the man was either sick
1,17,[37],1,[],0,0,[],set(),{37},32,0.53125,having a heart attack or something similar.
1,18,[40],1,[],0,0,[],set(),{40},32,0.5625,The driver didn't want to somehow read the papers the next day
1,19,[39],1,[],0,0,[],set(),{39},32,0.59375,and find out the mid fifties man had actually suffered a heart attack
1,20,[],0,[],0,0,[],set(),set(),32,0.625,"and died as a result,"
1,21,[39],1,[],0,0,[],set(),{39},32,0.65625,thinking he was actually just drunk driving.
1,22,[43],1,[],0,0,[],set(),{43},32,0.6875,Soon they see a Sheriff nearby while driving
1,23,[44],1,[],0,0,[],set(),{44},32,0.71875,and so he waves to the sheriff to get his attention
1,24,"[42, 43]",2,[],0,0,[],set(),"{42, 43}",32,0.75,and pull over
1,25,[46],1,[],0,0,[],set(),{46},32,0.78125,and tells him about the mid fifties man following them
1,26,[46],1,[],0,0,[],set(),{46},32,0.8125,and that he's either sick or drunk
1,27,[46],1,[],0,0,[],set(),{46},32,0.84375,and to go check on him.
1,28,[49],1,[],0,0,[],set(),{49},32,0.875,As soon as the deputy approaches the mid fifties man's car
1,29,"[50, 51]",2,[],0,0,[],set(),"{50, 51}",32,0.90625,he begins to put his car in reverse
1,30,[51],1,[],0,0,[],set(),{51},32,0.9375,and go backwards as quickly as possible.
1,31,[55],1,[],0,0,[],set(),{55},32,0.96875,The driver and Lisa appear humoured
1,32,[56],1,[],0,0,[],set(),{56},32,1,and not knowing whether the police had ever caught or reached the man in his fifties.
2,1,"[1, 2]",2,[],0,0,[],set(),"{1, 2}",34,0.029411764705882353,About a week ago I was headed to a softball game at Homestead Diamond put on by my church.
2,2,[4],1,[],0,0,[],set(),{4},34,0.058823529411764705,I was driving down Twenty-Four
2,3,"[4, 5, 10, 11]",4,[],0,0,[],set(),"{10, 11, 4, 5}",34,0.088235294,"and was waiting to turn,"
2,4,"[6, 8, 9]",3,[],0,0,[],set(),"{8, 9, 6}",34,0.11764705882352941,but a car started going for the spot at the same time.
2,5,[13],1,[],0,0,[],set(),{13},34,0.14705882352941177,I quickly drove past him
2,6,"[14, 15, 16, 17]",4,[],0,0,[],set(),"{16, 17, 14, 15}",34,0.17647058823529413,and he just stayed stopped blocking the highway.
2,7,[21],1,[],0,0,[],set(),{21},34,0.20588235294117646,Then the driver started following us.
2,8,[24],1,[],0,0,[],set(),{24},34,0.23529411764705882,I was with my friend Lisa
2,9,"[23, 25]",2,[],0,0,[],set(),"{25, 23}",34,0.2647058823529412,"and she said the vehicle was right on my tail, like almost bumper to bumper."
2,10,[27],1,[],0,0,[],set(),{27},34,0.29411764705882354,And he was driving all over the place
2,11,[27],1,[],0,0,[],set(),{27},34,0.3235294117647059,and not staying in his lane.
2,12,"[30, 33]",2,[],0,0,[],set(),"{33, 30}",34,0.35294117647058826,"I thought for sure he was drunk,"
2,13,[35],1,[],0,0,[],set(),{35},34,0.38235294117647056,and that I should turn around and confront him.
2,14,[37],1,[],0,0,[],set(),{37},34,0.4117647058823529,"But then I thought that he could also have a medical problem, like maybe he was having a heart attack,"
2,15,[39],1,[],0,0,[],set(),{39},34,0.4411764705882353,and I didn't want to read the news the next day
2,16,[39],1,[],0,0,[],set(),{39},34,0.47058823529411764,and see that someone died while having a heart attack
2,17,[38],1,[],0,0,[],set(),{38},34,0.5,and I could have done something to help them.
2,18,[40],1,[],0,0,[],set(),{40},34,0.5294117647058824,Part of me also didn't want to do anything
2,19,[41],1,[],0,0,[],set(),{41},34,0.5588235294117647,"but by then, I had already made up my mind to confront him."
